"order_id","customer","city","state","order_date","product_name","category_name","store_name","sales_rep","total_units_sold","revenue"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Fabiola Jackson","2","1199.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","599.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Fabiola Jackson","2","3098.00"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","1","2899.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","2","3599.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano","2","1199.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano","1","599.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano","2","3098.00"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","1","2899.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","2","3599.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland","2","1199.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland","1","599.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland","2","3098.00"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","1","2899.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","2","3599.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Virgie Wiggins","2","1199.98"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Virgie Wiggins","1","599.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Virgie Wiggins","2","3098.00"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","1","2899.99"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","2","3599.98"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1199.98"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","599.99"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1199.98"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","599.99"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1199.98"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","599.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","599.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Jannette David","1","999.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","599.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer","1","999.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","599.99"
3,"Joshua Robertson","Patchogue","NY","2016-01-02","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel","1","999.99"
4,"Nova Hess","Duarte","CA","2016-01-03","Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","2","1499.98"
4,"Nova Hess","Duarte","CA","2016-01-03","Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","2","1499.98"
4,"Nova Hess","Duarte","CA","2016-01-03","Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","2","1499.98"
